SchemaName,TableName,DuplicateCount
edw,tblNewHomesSubdivisionDim,0
edw,tblNewHomesSubdivisionDim,0
BrokerContractDM,tblAgentBridge,0
BrokerContractDM,tblBrokerBillingInformationDim,0
BrokerContractDM,tblBrokerContactBridge,0
BrokerContractDM,tblBrokerContractContactDim,0
BrokerContractDM,tblBrokerContractJunkDim,0
BrokerContractDM,tblBrokerContractOriginationTransactionalFact,0
BrokerContractDM,tblBrokerContractProgramDim,0
BrokerContractDM,tblBrokerContractStatusDim,0
BrokerContractDM,tblBrokerDim,0
BrokerContractDM,tblBrokerFirmDim,0
BrokerContractDM,tblCustomerBridge,0
BrokerContractDM,tblCustomerContactBridge,0
BrokerContractDM,tblOfficeBridge,0
BrokerContractDM,tblOrderBridge,0
Ctrl,tblOPRBID,1602
Ctrl,tblOPRBOP,0
Ctrl,tblSendEmail,0
Ctrl,tblSendEmailDetail,0
Ctrl,tblTop100BOP,0
CustomerDM,tblCustomerDailyPeriodicSnapshotFact,1109
CustomerDM,tblLeadContactDim,0
CustomerDM,tblLeadInquiryDim,0
CustomerDM,tblLeadReferralAgg_0,0
CustomerDM,tblLeadReferralTypeDim,0
CustomerDM,tblLeadTransactionalFact,0
CustomerDM,tblListingDailyPeriodicSnapshotFact,25
dbo,ActiveListingsConstructionFlag,0
dbo,ActiveListingsForRawStatus,0
